fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02919,ED 19,5294,2899,6,6,Released as a separate subtotal as first report of the night,96,5511,96%,96% reported,edison,2,unknown,,4000,,,1971,3115,110,52,22,11,13,,780,2027,50,24,6,8,4,,2020-11-24T13:22:06Z,21.60937,D+22,Biden +22,democrat,-21.60937,4792,-21.6,alaska,2020-11-28T00:46:11.822075Z
02902,ED 2,6131,2699,4,4,Released as a separate subtotal as first report of the night,97,6316,97%,97% reported,edison,2,unknown,,4000,,,3671,2102,287,30,18,14,9,,1313,1277,86,11,6,4,2,,2020-11-24T13:23:04Z,25.59126,R+26,Trump +26,republican,25.59126,5492,29.2,alaska,2020-11-28T00:46:11.822075Z
02920,ED 20,7410,5191,8,9,Released as a separate subtotal as first report of the night,90,8211,90%,90% reported,edison,2,unknown,,4000,,,2350,4834,150,51,7,15,3,,1312,3760,73,34,3,7,2,,2020-11-24T13:22:08Z,33.52227,D+34,Biden +34,democrat,-33.52227,7140,-27.5,alaska,2020-11-28T00:46:11.822075Z
02921,ED 21,9419,5803,8,8,Released as a separate subtotal as first report of the night,95,9944,95%,95% reported,edison,2,unknown,,4000,,,3685,5409,203,70,29,19,4,,1679,3973,90,39,11,7,4,,2020-11-24T13:22:13Z,18.30343,D+18,Biden +18,democrat,-18.30343,8647,-8.6,alaska,2020-11-28T00:46:11.822075Z
02922,ED 22,9484,5303,7,7,Released as a separate subtotal as first report of the night,99,9628,>98%,>98% reported,edison,2,unknown,,4000,,,4662,4541,198,46,16,18,3,,1944,3211,92,30,10,14,2,,2020-11-24T13:22:15Z,1.27583,R+1.3,Trump +1.3,republican,1.27583,8372,11.1,alaska,2020-11-28T00:46:11.822075Z
02923,ED 23,7705,4205,8,8,Released as a separate subtotal as first report of the night,97,7963,97%,97% reported,edison,2,unknown,,4000,,,3636,3796,170,53,22,15,13,,1516,2561,77,30,11,5,5,,2020-11-24T13:22:20Z,2.07657,D+2,Biden +2,democrat,-2.07657,6924,5.1,alaska,2020-11-28T00:46:11.822075Z
02924,ED 24,10422,6156,7,7,Released as a separate subtotal as first report of the night,98,10684,98%,98% reported,edison,2,unknown,,4000,,,5374,4734,222,46,15,24,7,,2442,3535,123,27,10,15,4,,2020-11-24T13:22:23Z,6.14086,R+6,Trump +6,republican,6.14086,9290,12.2,alaska,2020-11-28T00:46:11.822075Z
02925,ED 25,9294,5335,7,7,Released as a separate subtotal as first report of the night,99,9346,>98%,>98% reported,edison,2,unknown,,4000,,,4385,4592,200,67,21,14,15,,1826,3341,104,33,12,6,13,,2020-11-24T13:22:24Z,2.22724,D+2,Biden +2,democrat,-2.22724,8127,5.4,alaska,2020-11-28T00:46:11.822075Z
02926,ED 26,10108,6014,8,8,Released as a separate subtotal as first report of the night,99,10241,>98%,>98% reported,edison,2,unknown,,4000,,,5241,4557,207,55,23,23,2,,2496,3362,103,31,12,9,1,,2020-11-24T13:22:28Z,6.76692,R+7,Trump +7,republican,6.76692,8905,13.2,alaska,2020-11-28T00:46:11.822075Z
02927,ED 27,9499,5581,8,8,Released as a separate subtotal as first report of the night,94,10100,94%,94% reported,edison,2,unknown,,4000,,,4319,4843,228,59,21,23,6,,1904,3524,95,30,12,13,3,,2020-11-24T13:22:32Z,5.51637,D+6,Biden +6,democrat,-5.51637,8783,4.1,alaska,2020-11-28T00:46:11.822075Z
02928,ED 28,12736,7733,9,9,Released as a separate subtotal as first report of the night,97,13141,97%,97% reported,edison,2,unknown,,4000,,,6154,6259,219,69,16,16,3,,2924,4646,103,37,10,11,2,,2020-11-24T13:22:34Z,0.82443,D+0.82,Biden +0.82,democrat,-0.82443,11427,5.9,alaska,2020-11-28T00:46:11.822075Z
02929,ED 29,10737,4813,11,11,Released as a separate subtotal as first report of the night,99,10803,>98%,>98% reported,edison,2,unknown,,4000,,,7455,2984,190,69,26,10,3,,2734,1971,65,32,10,0,1,,2020-11-24T13:22:36Z,41.64105,R+42,Trump +42,republican,41.64105,9394,45.2,alaska,2020-11-28T00:46:11.822075Z
02903,ED 3,8375,3121,5,5,Released as a separate subtotal as first report of the night,96,8755,96%,96% reported,edison,2,unknown,,4000,,,6070,1902,314,42,26,13,8,,1789,1172,127,18,8,3,4,,2020-11-24T13:23:07Z,49.76716,R+50,Trump +50,republican,49.76716,7613,54.7,alaska,2020-11-28T00:46:11.822075Z
02930,ED 30,10177,5122,6,6,Released as a separate subtotal as first report of the night,99,10293,>98%,>98% reported,edison,2,unknown,,4000,,,7182,2637,270,42,26,17,3,,3114,1871,108,13,7,6,3,,2020-11-24T13:22:40Z,44.65953,R+45,Trump +45,republican,44.65953,8950,48.9,alaska,2020-11-28T00:46:11.822075Z
02931,ED 31,12389,6705,9,9,Released as a separate subtotal as first report of the night,100,11709,>98%,>98% reported,edison,2,unknown,,4000,,,6956,5032,250,99,27,18,7,,2806,3716,110,46,16,8,3,,2020-11-24T13:22:43Z,15.52991,R+16,Trump +16,republican,15.52991,10182,21.1,alaska,2020-11-28T00:46:11.822075Z
02932,ED 32,8313,0,14,14,Released as a separate subtotal as first report of the night,97,8593,97%,97% reported,edison,2,unknown,,4000,,,4429,3496,238,104,21,21,4,,0,0,0,0,0,0,0,,2020-11-24T13:22:44Z,11.22339,R+11,Trump +11,republican,11.22339,7472,14.2,alaska,2020-11-28T00:46:11.822075Z
02933,ED 33,10952,7795,11,11,Released as a separate subtotal as first report of the night,96,11424,96%,96% reported,edison,2,unknown,,4000,,,3058,7534,197,102,27,25,9,,1642,5955,109,59,14,11,5,,2020-11-24T13:22:45Z,40.86925,D+41,Biden +41,democrat,-40.86925,9934,-32.7,alaska,2020-11-28T00:46:11.822075Z
02934,ED 34,10727,7999,7,7,Released as a separate subtotal as first report of the night,99,10846,>98%,>98% reported,edison,2,unknown,,4000,,,4542,5762,279,68,36,34,6,,2876,4861,161,49,26,24,2,,2020-11-24T13:22:49Z,11.37317,D+11,Biden +11,democrat,-11.37317,9431,-2.8,alaska,2020-11-28T00:46:11.822075Z
02935,ED 35,10100,5844,14,14,Released as a separate subtotal as first report of the night,97,10398,97%,97% reported,edison,2,unknown,,4000,,,4768,5010,169,95,35,17,6,,2245,3435,92,44,20,8,0,,2020-11-24T13:22:51Z,2.39604,D+2,Biden +2,democrat,-2.39604,9042,3.9,alaska,2020-11-28T00:46:11.822075Z
02936,ED 36,9289,3720,10,10,Released as a separate subtotal as first report of the night,98,9504,98%,98% reported,edison,2,unknown,,4000,,,5112,3795,245,79,30,20,8,,1619,1973,94,14,10,8,2,,2020-11-24T13:22:52Z,14.17806,R+14,Trump +14,republican,14.17806,8264,21.4,alaska,2020-11-28T00:46:11.822075Z
02937,ED 37,5066,0,30,35,Released as a separate subtotal as first report of the night,87,5821,87%,87% reported,edison,2,unknown,,4000,,,2324,2522,82,57,52,16,13,,0,0,0,0,0,0,0,,2020-11-24T13:22:52Z,3.90841,D+4,Biden +4,democrat,-3.90841,5062,-9.5,alaska,2020-11-28T00:46:11.822075Z
02938,ED 38,5299,1298,28,31,Released as a separate subtotal as first report of the night,90,5859,90%,90% reported,edison,2,unknown,,4000,,,1737,3202,105,112,52,61,30,,331,921,22,10,4,8,2,,2020-11-24T13:22:54Z,27.64673,D+28,Biden +28,democrat,-27.64673,5095,-31.7,alaska,2020-11-28T00:46:11.822075Z
02939,ED 39,5811,282,30,33,Released as a separate subtotal as first report of the night,90,6485,90%,90% reported,edison,2,unknown,,4000,,,1896,3550,121,104,75,44,21,,93,176,6,2,2,3,0,,2020-11-24T13:22:56Z,28.46326,D+28,Biden +28,democrat,-28.46326,5639,-30.8,alaska,2020-11-28T00:46:11.822075Z
02904,ED 4,10585,6231,7,7,Released as a separate subtotal as first report of the night,97,10949,97%,97% reported,edison,2,unknown,,4000,,,4687,5347,322,93,27,29,4,76,1872,4157,149,36,7,10,0,0,2020-11-25T01:55:49Z,6.23524,D+6,Biden +6,democrat,-6.23524,9521,-1,alaska,2020-11-28T00:46:11.822075Z
02940,ED 40,4590,0,20,23,Released as a separate subtotal as first report of the night,87,5302,87%,87% reported,edison,2,unknown,,4000,,,1993,2308,93,85,47,40,24,,0,0,0,0,0,0,0,,2020-11-24T13:22:57Z,6.86275,D+7,Biden +7,democrat,-6.86275,4610,-20.8,alaska,2020-11-28T00:46:11.822075Z
02905,ED 5,8653,4512,9,9,Released as a separate subtotal as first report of the night,95,9092,95%,95% reported,edison,2,unknown,,4000,,,4077,4203,259,68,21,17,8,,1497,2856,116,26,8,5,4,,2020-11-24T13:23:10Z,1.45614,D+1.5,Biden +1.5,democrat,-1.45614,7906,6.3,alaska,2020-11-28T00:46:11.822075Z
02906,ED 6,9430,5,32,33,Released as a separate subtotal as first report of the night,97,9729,97%,97% reported,edison,2,unknown,,4000,,,5750,3264,264,82,33,31,6,,2,2,0,1,0,0,0,,2020-11-24T13:23:14Z,26.36267,R+26,Trump +26,republican,26.36267,8460,28.3,alaska,2020-11-28T00:46:11.822075Z
02907,ED 7,9614,5618,7,7,Released as a separate subtotal as first report of the night,100,9538,>98%,>98% reported,edison,2,unknown,,4000,,,7023,2212,272,53,36,13,5,,3777,1644,135,26,23,9,4,,2020-11-24T13:23:15Z,50.04161,R+50,Trump +50,republican,50.04161,8294,53.4,alaska,2020-11-28T00:46:11.822075Z
02908,ED 8,9883,4438,6,6,Released as a separate subtotal as first report of the night,100,9284,>98%,>98% reported,edison,2,unknown,,4000,,,7590,1952,241,48,28,18,6,,2995,1327,83,18,9,4,2,,2020-11-24T13:23:17Z,57.04746,R+57,Trump +57,republican,57.04746,8073,60.8,alaska,2020-11-28T00:46:11.822075Z
02909,ED 9,10986,4,11,11,Released as a separate subtotal as first report of the night,100,10297,>98%,>98% reported,edison,2,unknown,,4000,,,7781,2768,301,77,39,16,4,,2,2,0,0,0,0,0,,2020-11-24T13:23:18Z,45.6308,R+46,Trump +46,republican,45.6308,8954,47.5,alaska,2020-11-28T00:46:11.822075Z
