fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mckinleyd,results_clinen,results_write_ins,results_absentee_mckinleyd,results_absentee_clinen,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
54061,Monongalia,40886,29449,41,41,Released as a separate subtotal as first report of the night,100,39653,>98%,>98% reported,edison,4,all,14120,21611,19240,35,14266,15183,0,2020-11-09T20:13:42Z,5.79905,R+6,McKinley +6,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54069,Ohio,19394,0,38,39,Released separately at end; NOT included in cumulative results,98,19732,98%,98% reported,edison,2,unknown,6715,13021,6373,0,0,0,0,2020-11-04T10:43:36Z,34.27864,R+34,McKinley +34,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54073,Pleasants,3335,0,10,10,Other,96,3465,96%,96% reported,edison,2,unknown,1573,2536,799,0,0,0,0,2020-11-09T21:38:39Z,52.08396,R+52,McKinley +52,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54077,Preston,13900,0,28,28,Merged into voters' home precincts and released with cumulative results,100,13925,>98%,>98% reported,edison,2,unknown,3059,10647,3253,0,0,0,0,2020-11-04T10:43:37Z,53.19424,R+53,McKinley +53,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54085,Ritchie,4092,0,13,15,Other,91,4483,91%,91% reported,edison,2,unknown,1906,3395,697,0,0,0,0,2020-11-09T18:19:39Z,65.93353,R+66,McKinley +66,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54091,Taylor,7137,0,19,19,Other,99,7192,>98%,>98% reported,edison,2,unknown,2168,5336,1801,0,0,0,0,2020-11-04T10:43:37Z,49.53062,R+50,McKinley +50,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54093,Tucker,3713,0,11,11,Merged into voters' home precincts and released with cumulative results,97,3823,97%,97% reported,edison,2,unknown,1285,2700,1013,0,0,0,0,2020-11-09T18:38:39Z,45.43496,R+45,McKinley +45,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54095,Tyler,3781,0,9,10,Other,94,4019,94%,94% reported,edison,2,unknown,1402,3036,745,0,0,0,0,2020-11-09T18:19:39Z,60.59244,R+61,McKinley +61,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54103,Wetzel,6407,0,20,22,Merged into voters' home precincts and released with cumulative results,93,6892,93%,93% reported,edison,2,unknown,2730,4633,1774,0,0,0,0,2020-11-09T20:13:42Z,44.62307,R+45,McKinley +45,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54107,Wood,37237,25529,65,68,Released as a separate subtotal as first report of the night,100,37237,>98%,>98% reported,edison,6,all,20197,26314,10899,24,17289,8232,8,2020-11-08T16:44:50Z,41.397,R+41,McKinley +41,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
